label_name,category
Verticalis,soft tissue structure – musculoskeletal system
Horizontalis,soft tissue structure – musculoskeletal system
Medianus,soft tissue structure – musculoskeletal system
Coronalis,organ – cardiovascular system
Sagittalis,soft tissue structure – musculoskeletal system
Dexter,soft tissue structure – musculoskeletal system
Sinister,soft tissue structure – musculoskeletal system
Intermedius,soft tissue structure – musculoskeletal system
Medialis,direction – general anatomy
Lateralis,direction – general anatomy
Anterior,direction – general anatomy
Posterior,direction – general anatomy
Ventralis,soft tissue structure – musculoskeletal system
Dorsalis,soft tissue structure – musculoskeletal system
Frontalis,soft tissue structure – musculoskeletal system
Occipitalis,soft tissue structure – musculoskeletal system
Superior,direction – general anatomy
Inferior,direction – general anatomy
Cranialis,soft tissue structure – musculoskeletal system
Caudalis,soft tissue structure – musculoskeletal system
Rostralis,soft tissue structure – musculoskeletal system
Apicalis,soft tissue structure – musculoskeletal system
Basalis,soft tissue structure – musculoskeletal system
Medius,soft tissue structure – musculoskeletal system
Transversus,soft tissue structure – musculoskeletal system
Longitudinalis,soft tissue structure – musculoskeletal system
Axialis,soft tissue structure – musculoskeletal system
Externus,soft tissue structure – musculoskeletal system
Internus,soft tissue structure – musculoskeletal system
Luminalis,soft tissue structure – musculoskeletal system
Superficialis,soft tissue structure – musculoskeletal system
Profundus,soft tissue structure – musculoskeletal system
Proximalis,direction – general anatomy
Distalis,direction – general anatomy
Centralis,soft tissue structure – musculoskeletal system
Periphericus,soft tissue structure – musculoskeletal system
Radialis,soft tissue structure – musculoskeletal system
Ulnaris,soft tissue structure – musculoskeletal system
Tibialis,soft tissue structure – musculoskeletal system
Palmaris,soft tissue structure – musculoskeletal system
Plantaris,soft tissue structure – musculoskeletal system
Flexorius,soft tissue structure – musculoskeletal system
Extensorius,soft tissue structure – musculoskeletal system
Plana referentiae,organ – urinary system
Plana longitudinalia ,soft tissue structure – musculoskeletal system
Plana verticales ,soft tissue structure – musculoskeletal system
Plana coronalia Plana frontalia,organ – cardiovascular system
Plana sagittalia,soft tissue structure – musculoskeletal system
Planum medianum,soft tissue structure – musculoskeletal system
Planum paramedianum,soft tissue structure – musculoskeletal system
Planum transpyloricum,soft tissue structure – musculoskeletal system
Planum subcostale,soft tissue structure – musculoskeletal system
Planum transumbilicalis,soft tissue structure – musculoskeletal system
Planum supracristale,soft tissue structure – musculoskeletal system
Planum intertuberculare,soft tissue structure – musculoskeletal system
Planum interspinale,soft tissue structure – musculoskeletal system
Lineae referentiae,organ – urinary system
Linea mediana anterior,direction – general anatomy
Linea sternalis,soft tissue structure – musculoskeletal system
Linea parasternalis,soft tissue structure – musculoskeletal system
Linea medioclavicularis,soft tissue structure – musculoskeletal system
Linea mamillaris,soft tissue structure – musculoskeletal system
Linea axillaris anterior,direction – general anatomy
Linea axillaris media,soft tissue structure – musculoskeletal system
Linea axillaris posterior,direction – general anatomy
Linea scapularis,soft tissue structure – musculoskeletal system
Linea paravertebralis,soft tissue structure – musculoskeletal system
Linea mediana posterior,direction – general anatomy
Positiones corporis humani,organ – cardiovascular system
Positio anatomica comparativa,soft tissue structure – musculoskeletal system
Positio prona,soft tissue structure – musculoskeletal system
Positio supina,soft tissue structure – musculoskeletal system
Motus,soft tissue structure – musculoskeletal system
Abductio,soft tissue structure – musculoskeletal system
Adductio,soft tissue structure – musculoskeletal system
Circumductio,soft tissue structure – musculoskeletal system
Flexio,soft tissue structure – musculoskeletal system
Extensio,soft tissue structure – musculoskeletal system
Pronatio,soft tissue structure – musculoskeletal system
Supinatio,soft tissue structure – musculoskeletal system
Oppositio,soft tissue structure – musculoskeletal system
Repositio,soft tissue structure – musculoskeletal system
Plantiflexio,soft tissue structure – musculoskeletal system
Dorsiflexio,soft tissue structure – musculoskeletal system
Elevatio,soft tissue structure – musculoskeletal system
Depressio,soft tissue structure – musculoskeletal system
Eversio,soft tissue structure – musculoskeletal system
Inversio,soft tissue structure – musculoskeletal system
Protractio,soft tissue structure – musculoskeletal system
Retractio,soft tissue structure – musculoskeletal system
Corpus humanum,organ – cardiovascular system
Partes corporis humani,organ – cardiovascular system
Caput,soft tissue structure – musculoskeletal system
Pars neurocranialis capitis,soft tissue structure – musculoskeletal system
Cavitas cranii,soft tissue structure – musculoskeletal system
Frons,soft tissue structure – musculoskeletal system
Occiput,soft tissue structure – musculoskeletal system
Tempus,soft tissue structure – musculoskeletal system
Auricula,soft tissue structure – musculoskeletal system
Lobulus auriculae,soft tissue structure – musculoskeletal system
Helix,soft tissue structure – musculoskeletal system
Crus helicis,soft tissue structure – musculoskeletal system
Antihelix,soft tissue structure – musculoskeletal system
Crura antihelicis,soft tissue structure – musculoskeletal system
Antitragus,soft tissue structure – musculoskeletal system
Tragus,soft tissue structure – musculoskeletal system
Facies,soft tissue structure – musculoskeletal system
Oculus,soft tissue structure – musculoskeletal system
Palpebra superior,direction – general anatomy
Palpebra inferior,direction – general anatomy
Bucca,soft tissue structure – musculoskeletal system
Nasus externus,soft tissue structure – musculoskeletal system
Ala nasi,soft tissue structure – musculoskeletal system
Stoma Ostium orale,soft tissue structure – musculoskeletal system
Labium superius oris,soft tissue structure – musculoskeletal system
Labium inferius oris,soft tissue structure – musculoskeletal system
Mentum,soft tissue structure – musculoskeletal system
Collum Cervix Neck Neck,soft tissue structure – musculoskeletal system
Truncus,soft tissue structure – musculoskeletal system
Thorax,soft tissue structure – musculoskeletal system
Cavitas thoracis,soft tissue structure – musculoskeletal system
Abdomen,soft tissue structure – musculoskeletal system
Cavitas abdominis,soft tissue structure – musculoskeletal system
Pelvis,soft tissue structure – musculoskeletal system
Cavitas pelvis,soft tissue structure – musculoskeletal system
Perineum,soft tissue structure – musculoskeletal system
Paries anterolateralis thoracis,direction – general anatomy
Paries anterolateralis abdominis,direction – general anatomy
Dorsum Pars posterior trunci,direction – general anatomy
Dorsum thoracis Paries posterior thoracis,direction – general anatomy
Dorsum abdominis Paries posterior abdominis,direction – general anatomy
Membrum superius,soft tissue structure – musculoskeletal system
Omos,soft tissue structure – musculoskeletal system
Axilla,soft tissue structure – musculoskeletal system
Plica axillaris anterior,direction – general anatomy
Plica axillaris posterior,direction – general anatomy
Pars libera membri superioris,direction – general anatomy
Brachium,soft tissue structure – musculoskeletal system
Cubitus,soft tissue structure – musculoskeletal system
Antebrachium,soft tissue structure – musculoskeletal system
Carpus,soft tissue structure – musculoskeletal system
Manus,soft tissue structure – musculoskeletal system
Metacarpus,soft tissue structure – musculoskeletal system
Digiti manus,soft tissue structure – musculoskeletal system
Digitus medius manus,soft tissue structure – musculoskeletal system
Digitus minimus manus,soft tissue structure – musculoskeletal system
Membrum inferius,soft tissue structure – musculoskeletal system
Natis Clunis ,soft tissue structure – musculoskeletal system
Coxa,soft tissue structure – musculoskeletal system
Pars libera membri inferioris,direction – general anatomy
Femur,soft tissue structure – musculoskeletal system
Genu,soft tissue structure – musculoskeletal system
Poples,soft tissue structure – musculoskeletal system
Crus,soft tissue structure – musculoskeletal system
Sura,soft tissue structure – musculoskeletal system
Talus,soft tissue structure – musculoskeletal system
Pes,soft tissue structure – musculoskeletal system
Calx,soft tissue structure – musculoskeletal system
Pars media pedis,soft tissue structure – musculoskeletal system
Metatarsus,soft tissue structure – musculoskeletal system
Digiti pedis,soft tissue structure – musculoskeletal system
of foot,soft tissue structure – musculoskeletal system
Digitus secundus pedis Digitus II pedis,soft tissue structure – musculoskeletal system
Digitus tertius pedis Digitus III pedis,soft tissue structure – musculoskeletal system
Digitus quartus pedis Digitus IV pedis,soft tissue structure – musculoskeletal system
Regiones corporis humani,organ – cardiovascular system
Regiones capitis Regio capitalis,soft tissue structure – musculoskeletal system
Vertex,soft tissue structure – musculoskeletal system
Regio frontalis,soft tissue structure – musculoskeletal system
Supercilium,soft tissue structure – musculoskeletal system
Regio parietalis,soft tissue structure – musculoskeletal system
Regio occipitalis,soft tissue structure – musculoskeletal system
Regio temporalis,soft tissue structure – musculoskeletal system
Regio mastoidea,soft tissue structure – musculoskeletal system
Regio auricularis,soft tissue structure – musculoskeletal system
Fossa triangularis,soft tissue structure – musculoskeletal system
Scapha,soft tissue structure – musculoskeletal system
Concha auriculae,soft tissue structure – musculoskeletal system
Cymba conchae,soft tissue structure – musculoskeletal system
Cavitas conchae,soft tissue structure – musculoskeletal system
Incisura anterior auriculae,direction – general anatomy
Incisura intertragica,soft tissue structure – musculoskeletal system
(Tuberculum auriculae),soft tissue structure – musculoskeletal system
(Apex auriculae),soft tissue structure – musculoskeletal system
Sulcus posterior auriculae,direction – general anatomy
(Tuberculum supratragicum),soft tissue structure – musculoskeletal system
Fossa antihelica,soft tissue structure – musculoskeletal system
Eminentia conchae,soft tissue structure – musculoskeletal system
Eminentia scaphae,soft tissue structure – musculoskeletal system
Eminentia fossae triangularis,soft tissue structure – musculoskeletal system
Regiones faciei Regio facialis,soft tissue structure – musculoskeletal system
Regio orbitalis,soft tissue structure – musculoskeletal system
Sulcus suprapalpebralis,soft tissue structure – musculoskeletal system
Rima palpebrarum,soft tissue structure – musculoskeletal system
Commissura lateralis palpebrarum,direction – general anatomy
Commissura medialis palpebrarum,direction – general anatomy
Angulus lateralis oculi,direction – general anatomy
Angulus medialis oculi,direction – general anatomy
Sulcus infrapalpebralis,soft tissue structure – musculoskeletal system
Plica palpebronasalis,soft tissue structure – musculoskeletal system
Regio infraorbitalis,soft tissue structure – musculoskeletal system
Regio buccalis,soft tissue structure – musculoskeletal system
Regio parotideomasseterica,soft tissue structure – musculoskeletal system
Regio zygomatica,soft tissue structure – musculoskeletal system
Regio nasalis,soft tissue structure – musculoskeletal system
Radix nasi,soft tissue structure – musculoskeletal system
Dorsum nasi,soft tissue structure – musculoskeletal system
Apex nasi,soft tissue structure – musculoskeletal system
Sulcus nasolabialis,soft tissue structure – musculoskeletal system
Regio oralis,soft tissue structure – musculoskeletal system
Philtrum,soft tissue structure – musculoskeletal system
Tuberculum labii superioris,direction – general anatomy
Commissura labiorum oris,soft tissue structure – musculoskeletal system
Angulus oris,soft tissue structure – musculoskeletal system
Sulcus mentolabialis,soft tissue structure – musculoskeletal system
Regio mentalis,soft tissue structure – musculoskeletal system
Regiones colli Regio cervicalis Regions of neck Regions of neck,soft tissue structure – musculoskeletal system
Regio anterior colli Regio cervicalis anterior Anterior region of neck,direction – general anatomy
Trigonum anterius,soft tissue structure – musculoskeletal system
